City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
470,sierra vista,31.5545,-110.3037,17.84,28,0,2.06,US,1683385756
471,paradip garh,20.3167,86.6167,29.23,80,11,5.36,IN,1683385757
472,oranjemund,-28.55,16.4333,15.8,80,12,5.15,NA,1683385758
473,richmond,37.5538,-77.4603,22.35,51,40,2.06,US,1683385367
474,touros,-5.1989,-35.4608,30.15,64,42,6.99,BR,1683385703
475,kapsan-up,41.0903,128.2933,6.18,86,40,1.38,KP,1683385760
476,al mijlad,11.0333,27.7333,40.22,12,30,2.12,SD,1683385760
477,kerikeri,-35.2268,173.9474,16.91,93,100,3.48,NZ,1683385761
478,basco,20.4487,121.9702,27.93,84,14,8.72,PH,1683385762
479,kamakhyanagar,20.9333,85.55,31.49,55,71,5.09,IN,1683385762
480,papao,-17.75,-149.55,25.37,78,95,8.89,PF,1683385763
481,tubarjal,30.4999,38.216,31.12,15,0,6.25,SA,1683385764
482,zhanaozen,43.3,52.8,21.47,27,7,2.67,KZ,1683385765
483,melilla,35.2937,-2.9383,25.21,47,0,5.14,ES,1683385765
484,sur,22.5667,59.5289,29.59,57,3,1.06,OM,1683385766
485,itaituba,-4.2761,-55.9836,31.26,59,95,1.9,BR,1683385767
486,funafuti,-8.5243,179.1942,28.0,89,75,3.6,TV,1683385767
487,marica,-22.9194,-42.8186,26.97,72,1,2.4,BR,1683385581
488,apatity,67.5641,33.4031,2.37,85,54,1.85,RU,1683385769
489,ellore,16.7,81.1,27.05,71,35,3.09,IN,1683385770
490,luganville,-15.5333,167.1667,25.65,85,11,1.24,VU,1683385771
491,richards bay,-28.783,32.0377,25.18,72,5,6.1,ZA,1683385772
492,arenapolis,-14.4503,-56.8461,29.93,54,87,1.12,BR,1683385610
493,tura,25.5198,90.2201,24.56,52,2,1.93,IN,1683385773
494,hagere hiywet,8.9833,37.85,14.67,93,92,2.32,ET,1683385774
495,hotan,37.0997,79.9269,14.99,18,100,4.49,CN,1683385774
496,vadso,70.0744,29.7487,7.49,56,84,4.63,NO,1683385775
497,tawau,4.2498,117.8871,26.46,87,100,1.3,MY,1683385689
498,laguna,38.421,-121.4238,11.99,93,100,3.6,US,1683385776
499,brookings,44.3114,-96.7984,15.1,95,100,6.69,US,1683385776
500,tarimoro,20.2833,-100.75,25.61,32,0,0.68,MX,1683385777
501,salaqi,40.5414,110.5108,11.47,47,100,1.91,CN,1683385778
502,olinda,-8.0089,-34.8553,29.85,62,40,4.63,BR,1683385778
503,filadelfia,39.9523,-75.1638,19.87,52,20,3.09,US,1683385776
504,priargunsk,50.3691,119.1012,8.71,30,36,2.23,RU,1683385779
505,stornoway,58.2093,-6.3865,13.91,81,40,2.06,GB,1683385780
506,laranjal paulista,-23.0497,-47.8367,25.27,67,72,2.47,BR,1683385781
507,auki,-8.7676,160.7034,25.6,89,56,1.75,SB,1683385781
508,korla,41.7597,86.1469,6.29,62,67,2.42,CN,1683385782
509,goshen,41.5823,-85.8344,17.49,62,100,6.45,US,1683385583
510,faxinal,-24.0003,-51.3194,24.92,59,100,1.36,BR,1683385783
511,forster,-32.1667,152.5167,9.65,99,100,2.27,AU,1683385783
512,ola,59.5833,151.2833,-0.22,87,33,0.81,RU,1683385784
513,bathsheba,13.2167,-59.5167,30.34,66,20,7.2,BB,1683385785
514,ibshaway,29.358,30.6814,27.86,25,3,8.52,EG,1683385785
515,mournies,35.4764,24.0092,21.02,72,40,5.14,GR,1683385786
516,thunder bay,48.4001,-89.3168,5.95,93,100,5.66,CA,1683385692
517,orsa,54.5153,30.4053,7.83,37,98,2.47,BY,1683385787
518,fisterra,42.9049,-9.2629,20.01,87,2,4.02,ES,1683385788
519,el calafate,-50.3408,-72.2768,7.99,71,22,4.89,AR,1683385789
520,kenai,60.5544,-151.2583,3.94,87,100,1.54,US,1683385773
521,saiha,22.4833,92.9667,23.27,70,20,0.32,IN,1683385790
522,tralee,52.2704,-9.7026,17.14,72,75,2.57,IE,1683385791
523,acajutla,13.5928,-89.8275,31.45,53,44,2.07,SV,1683385791
524,antofagasta,-23.65,-70.4,17.6,63,3,3.34,CL,1683385669
525,zheleznodorozhnyy,55.7503,38.0042,6.31,37,100,4.92,RU,1683385792
526,lethem,3.3803,-59.7968,28.3,68,98,5.69,GY,1683385793
527,toliara,-23.35,43.6667,23.57,72,40,3.67,MG,1683385741
528,tyre,33.2733,35.1939,24.75,68,1,1.94,LB,1683385794
529,neiafu,-18.65,-173.9833,24.38,94,20,0.0,TO,1683385794
530,petatlan,17.5167,-101.2667,29.89,48,38,1.48,MX,1683385795
531,flying fish cove,-10.4217,105.6791,26.82,89,75,3.6,CX,1683385796
532,vila velha,-20.3297,-40.2925,25.53,80,40,3.6,BR,1683385658
533,qui nhon,13.7667,109.2333,27.89,90,100,4.29,VN,1683385797
534,sobral,-3.6861,-40.3497,30.61,57,41,3.16,BR,1683385797
535,simanggang,1.2472,111.4528,24.37,98,96,0.42,MY,1683385798
536,moose jaw,50.4001,-105.5344,11.07,65,25,6.52,CA,1683385798
537,ternate,0.8,127.4,28.08,79,80,1.72,ID,1683385799
538,araguaina,-7.1911,-48.2072,30.27,62,52,3.49,BR,1683385799
539,bowen,-20.0167,148.2333,22.38,72,25,4.24,AU,1683385800
540,choyr,46.3611,108.3611,7.88,25,64,2.94,MN,1683385801
541,yaremche,48.4583,24.5519,12.33,75,99,2.73,UA,1683385806
542,kristiansund,63.1115,7.732,13.03,32,96,3.6,NO,1683385807
543,cedeira,43.6797,-8.0209,17.76,80,21,5.34,ES,1683385808
544,novyy urengoy,66.0833,76.6333,-6.1,96,100,1.62,RU,1683385809
545,xianning,29.8833,114.2167,15.21,89,100,4.05,CN,1683385809
546,khandyga,62.6667,135.6,1.36,98,100,3.71,RU,1683385810
547,fang,19.9169,99.2145,30.9,39,55,0.95,TH,1683385811
548,kokstad,-30.5472,29.4241,21.49,41,96,2.76,ZA,1683385811
549,ponta delgada,37.7333,-25.6667,19.4,88,40,5.14,PT,1683385812
550,mikumi,-7.4041,36.9831,23.14,87,42,1.8,TZ,1683385813
551,bikenibeu village,1.3673,173.1241,27.66,82,34,3.83,KI,1683385814
